Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1455.0,1.0000001496230833,0.0,-0.34494617589097154,0.0,0.0,0.0010602423415827992,0.0,0.1544777126126065,-0.020818779204395545,0.0,-3.4395953890208566,0.0,-0.9944143918877796,2.1544640211157895,0.0,-0.0052639862958422795,-0.0008756548893794846,0.0,0.0,0.3458562946231361
10.0,1460.0,1.0000001425639282,0.0,-0.3437365523542033,0.0,0.0,0.0010867339003565759,0.0,0.15336298735173787,-0.020230292052277502,0.0,-3.4442744451039085,0.0,-0.994531442550186,2.158830900423748,0.0,-0.005148950006792408,-0.0008998759663265088,0.0,0.0,0.3446718503090025
10.0,1465.0,1.0000001357205435,0.0,-0.342534669350902,0.0,0.0,0.0011132959585375712,0.0,0.1522599694674906,-0.0196495943548416,0.0,-3.448921851488372,0.0,-0.9946461704851133,2.163178894450866,0.0,-0.005036023979274273,-0.000924439048619442,0.0,0.0,0.34349549097236853
10.0,1470.0,1.000000129087018,0.0,-0.34134044923702317,0.0,0.0,0.0011399216597575786,0.0,0.15116849584343323,-0.019077118600879676,0.0,-3.453537205088458,0.0,-0.9947584774077834,2.167508109948443,0.0,-0.004925302586939097,-0.0009493395526799386,0.0,0.0,0.3423271341131613
10.0,1475.0,1.0000001226575976,0.0,-0.3401538154558508,0.0,0.0,0.0011666043717777355,0.0,0.15008840619139943,-0.01851327708478871,0.0,-3.4581201278338223,0.0,-0.9948682698660946,2.1718186530435157,0.0,-0.004816875615004683,-0.0009745729171061596,0.0,0.0,0.3411666983499584
10.0,1480.0,1.0000001164266812,0.0,-0.33897469251816453,0.0,0.0,0.0011933376796831776,0.0,0.14901954299288223,-0.017958462613228695,0.0,-3.4626702657541144,0.0,-0.9949754590689471,2.1761106292412293,0.0,-0.004710828422800476,-0.0010001346038904814,0.0,0.0,0.34001410340108773
10.0,1485.0,1.0000001103888163,0.0,-0.33780300598285634,0.0,0.0,0.0012201153792952384,0.0,0.14796175144185406,-0.017413049187697364,0.0,-3.467187288095913,0.0,-0.995079960720614,2.1803841434271964,0.0,-0.004607242100537236,-0.0010260200995608891,0.0,0.0,0.3388692700661172
10.0,1490.0,1.000000104538695,0.0,-0.3366386824379825,0.0,0.0,0.0012469314707896954,0.0,0.14691487938893927,-0.01687739266400336,0.0,-3.4716708864696098,0.0,-0.9951816948606013,2.1846392998698727,0.0,-0.004506193620824879,-0.0010522249162514714,0.0,0.0,0.33773212020771015
10.0,1495.0,1.0000000988711495,0.0,-0.3354816494822408,0.0,0.0,0.0012737801525151801,0.0,0.1458787772869388,-0.01635183138893241,0.0,-3.476120774026292,0.0,-0.9952805857092343,2.1888762022229256,0.0,-0.00440775598500393,-0.001078744592703759,0.0,0.0,0.33660257673384886
10.0,1500.0,1.0000000933811488,0.0,-0.33433183570685715,0.0,0.0,0.001300655815006641,0.0,0.14485329813764292,-0.015836686815578923,0.0,-3.480536684662638,0.0,-0.9953765615183071,2.1930949535276283,0.0,-0.004311998364405113,-0.0011055746952036256,0.0,0.0,0.3354805635804126
10.0,1505.0,1.000000088063795,0.0,-0.3331891706778793,0.0,0.0,0.0013275530351828646,0.0,0.1438382974399112,-0.015332264097473952,0.0,-3.4849183722534325,0.0,-0.9954695544270342,2.197295656215237,0.0,-0.004218986236798847,-0.0011327108184556686,0.0,0.0,0.33436600569410274
10.0,1510.0,1.000000082914318,0.0,-0.332053584918857,0.0,0.0,0.0013544665707278022,0.0,0.1428336331389784,-0.014838852662949214,0.0,-3.489265609910548,0.0,-0.9955595003228193,2.2014784121094024,0.0,-0.004128781518222807,-0.0011601485863961221,0.0,0.0,0.333258829015707
10.0,1515.0,1.000000077928075,0.0,-0.3309250098939064,0.0,0.0,0.001381391354644706,0.0,0.14183916557695728,-0.01435672676973724,0.0,-3.4935781892671574,0.0,-0.9956463387067686,2.205643322428573,0.0,-0.004041442690277522,-0.0011878836529521561,0.0,0.0,0.3321589604636963
10.0,1520.0,1.0000000731005436,0.0,-0.3298033779911437,0.0,0.0,0.0014083224899820567,0.0,0.14085475744451062,-0.013886146040625623,0.0,-3.4978559197870798,0.0,-0.9957300125638521,2.2097904877884154,0.0,-0.003957024923143617,-0.0012159117027440705,0.0,0.0,0.33106632791814233
10.0,1525.0,1.0000000684273214,0.0,-0.32868862250647923,0.0,0.0,0.0014352552447184955,0.0,0.1398802737336467,-0.013427355981605193,0.0,-3.502098628097157,0.0,-0.9958104682374805,2.213920008204239,0.0,-0.0038755801943043287,-0.0012442284517370228,0.0,0.0,0.3299808602049561
