========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
240.0,2.02697e-13
250.0,2.31948e-13
260.0,2.63718e-13
270.0,2.9788e-13
280.0,3.34778e-13
290.0,3.74112e-13
300.0,4.16184e-13
310.0,4.60975e-13
320.0,5.08291e-13
330.0,5.58142e-13
340.0,6.10908e-13
350.0,6.66004e-13
360.0,7.23936e-13
370.0,7.83942e-13
380.0,8.46708e-13
390.0,9.1172e-13
400.0,9.78847e-13
410.0,1.04779e-12
420.0,1.11911e-12
430.0,1.19209e-12
440.0,1.26659e-12
450.0,1.34242e-12
460.0,1.41989e-12
470.0,1.49841e-12
480.0,1.57817e-12
490.0,1.65841e-12
500.0,1.73983e-12
510.0,1.82136e-12
520.0,1.9036e-12
530.0,1.98563e-12
540.0,2.06809e-12
550.0,2.15062e-12
560.0,2.23254e-12
570.0,2.31408e-12
580.0,2.39552e-12
590.0,2.47638e-12
600.0,2.55608e-12
610.0,2.63496e-12
620.0,2.71331e-12
630.0,2.79047e-12
640.0,2.86621e-12
650.0,2.94075e-12
660.0,3.01448e-12
670.0,3.08728e-12
680.0,3.1579e-12
690.0,3.22703e-12
700.0,3.29479e-12
800.0,3.8849e-12
900.0,4.3102e-12
1000.0,4.5881e-12
1100.0,4.74689e-12
1200.0,4.81966e-12
1300.0,4.83242e-12
1400.0,4.80689e-12
1500.0,4.75876e-12
1600.0,4.69941e-12
1700.0,4.63848e-12
1800.0,4.57814e-12
1900.0,4.5236e-12
2000.0,4.47532e-12
2100.0,4.43531e-12
2200.0,4.40251e-12
2300.0,4.37842e-12
2400.0,4.36162e-12
========================================
ch3oh_B5_Energy_1_34.9759.out
3.0 atm
T,R->P1
200.0,3.64811e-14
210.0,4.33254e-14
220.0,5.09507e-14
230.0,5.9376e-14
240.0,6.86058e-14
250.0,7.87205e-14
260.0,8.97818e-14
270.0,1.01768e-13
280.0,1.14826e-13
290.0,1.28882e-13
300.0,1.44076e-13
310.0,1.60439e-13
320.0,1.77944e-13
330.0,1.96641e-13
340.0,2.16716e-13
350.0,2.38007e-13
360.0,2.60755e-13
370.0,2.84737e-13
380.0,3.10264e-13
390.0,3.37207e-13
400.0,3.65558e-13
410.0,3.9528e-13
420.0,4.26646e-13
430.0,4.59433e-13
440.0,4.9362e-13
450.0,5.29204e-13
460.0,5.66362e-13
470.0,6.04862e-13
480.0,6.44878e-13
490.0,6.86081e-13
500.0,7.28827e-13
510.0,7.72668e-13
520.0,8.17914e-13
530.0,8.64146e-13
540.0,9.11705e-13
550.0,9.60403e-13
560.0,1.00992e-12
570.0,1.06037e-12
580.0,1.11193e-12
590.0,1.16433e-12
600.0,1.21725e-12
610.0,1.27086e-12
620.0,1.32532e-12
630.0,1.38026e-12
640.0,1.43547e-12
650.0,1.49108e-12
660.0,1.5473e-12
670.0,1.60395e-12
680.0,1.66038e-12
690.0,1.71692e-12
700.0,1.77367e-12
800.0,2.3315e-12
900.0,2.83872e-12
1000.0,3.26673e-12
1100.0,3.60582e-12
1200.0,3.86143e-12
1300.0,4.04438e-12
1400.0,4.1687e-12
1500.0,4.24788e-12
1600.0,4.29402e-12
1700.0,4.31831e-12
1800.0,4.32671e-12
1900.0,4.32658e-12
2000.0,4.32137e-12
2100.0,4.31502e-12
2200.0,4.3087e-12
2300.0,4.30508e-12
2400.0,4.30426e-12
========================================
ch3oh_W1_Energy_1_34.9759.out
0.1 atm
T,R->P1
200.0,1.00583e-12
210.0,1.17526e-12
220.0,1.3573e-12
230.0,1.55051e-12
240.0,1.75298e-12
250.0,1.96455e-12
260.0,2.18421e-12
270.0,2.40934e-12
280.0,2.64079e-12
290.0,2.87467e-12
300.0,3.11141e-12
310.0,3.34965e-12
320.0,3.58702e-12
330.0,3.82206e-12
340.0,4.05644e-12
350.0,4.28586e-12
360.0,4.51253e-12
370.0,4.73161e-12
380.0,4.94682e-12
390.0,5.15504e-12
400.0,5.35657e-12
410.0,5.54867e-12
420.0,5.7352e-12
430.0,5.91232e-12
440.0,6.08133e-12
450.0,6.24069e-12
460.0,6.39216e-12
470.0,6.53543e-12
480.0,6.67018e-12
490.0,6.79537e-12
500.0,6.9138e-12
510.0,7.02291e-12
520.0,7.1245e-12
530.0,7.21712e-12
540.0,7.30274e-12
550.0,7.38166e-12
560.0,7.45264e-12
570.0,7.51671e-12
580.0,7.57494e-12
590.0,7.62677e-12
600.0,7.6717e-12
610.0,7.71084e-12
620.0,7.74498e-12
630.0,7.77315e-12
640.0,7.79621e-12
650.0,7.81458e-12
660.0,7.82914e-12
670.0,7.84119e-12
680.0,7.84708e-12
690.0,7.84901e-12
700.0,7.84666e-12
800.0,7.68213e-12
900.0,7.35008e-12
1000.0,6.95844e-12
1100.0,6.56177e-12
